State/District,Murder with Rape/Gang Rape,Dowry Deaths (Sec. 304B IPC),Abetment to Suicide of Women (Sec. 305/306 IPC),Miscarriage ,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),Cruelty by Husband or his relatives,Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),Rape,"Dowry Prohibition Act, 1961",YEAR,Total_Crimes ,Severe_Crimes,Safety_Label
GRP,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Railway Chennai,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
West,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
South,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Kakching,0,0,0,0,0,0,0,0,0,0,4,0,2021,4,4,Safe
Tengnoupal,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Jaintia Hills West,0,0,0,0,0,0,0,0,0,0,6,0,2021,6,6,Safe
Khasi Hills West,0,0,0,0,0,0,0,0,0,0,10,0,2021,10,10,Safe
Champhai,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Senapati,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Aurangabad Railway,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Lawngtlai,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Mamit,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Kohima,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Mon,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
Lunglei,0,0,0,0,0,0,0,0,0,0,3,0,2021,3,3,Safe
IGI Airport,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Narayanpur,0,0,0,0,0,0,0,0,0,0,9,0,2021,9,9,Safe
Bizapur,0,0,0,0,0,0,0,0,0,0,9,0,2021,9,9,Safe
Dang,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Siang Upper,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Siang West,0,0,0,0,0,0,0,0,0,0,3,0,2021,3,3,Safe
Subansiri Lower,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Tawang,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Siang,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Kamle,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
CID,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Longding,0,0,0,0,0,0,0,0,0,0,3,0,2021,3,3,Safe
Anjaw,0,0,0,0,0,0,0,0,0,0,1,0,2021,1,1,Safe
Changlang,0,0,0,0,0,0,0,0,0,0,5,0,2021,5,5,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,2,0,2021,2,2,Safe
