State/District,Murder with Rape/Gang Rape,Dowry Deaths (Sec. 304B IPC),Abetment to Suicide of Women (Sec. 305/306 IPC),Miscarriage ,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),Cruelty by Husband or his relatives,Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),Rape,"Dowry Prohibition Act, 1961",YEAR,Total_Crimes ,Severe_Crimes,Safety_Label
Intelligence Wing,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Special Task Force,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID CB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Jaipur Crime,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SSB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SOG,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SCRB,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Jaipur Metro,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Noney,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Longleng,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Peren,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Phek,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Wokha,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
GRP,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
EOW,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Railway Police Secunderabad,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Other Units,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
GRP,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Subansiri Lower,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Siang,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kamle,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Leparada,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Shiyomi,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Pakkessang,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
BIEO,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Katihar Railway,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
SOU,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
STF,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Karaikal,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Kargil,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Railways Jammu,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Railways Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Railways Katra,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Cyber,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Irrigation & Power,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
CID,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,Safe
Bureau of Investigation,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
North,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
West,0,0,0,0,0,0,0,0,0,0,3,0,2019,3,3,Safe
Senapati,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Ukhrul,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
Garo Hills South West,0,0,0,0,0,0,0,0,0,0,8,0,2019,8,8,Safe
Jaintia Hills West,0,0,0,0,0,0,0,0,0,0,8,0,2019,8,8,Safe
Pune Railway,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Aurangabad Railway,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Lawngtlai,0,0,0,0,0,0,0,0,0,0,4,0,2019,4,4,Safe
Lunglei,0,0,0,0,0,0,0,0,0,0,5,0,2019,5,5,Safe
Saiha,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
Serchhip,0,0,0,0,0,0,0,0,0,0,5,0,2019,5,5,Safe
Mokokchung,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Mon,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Tuensang,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
Kohima,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
IGI Airport,0,0,0,0,0,0,0,0,0,0,4,0,2019,4,4,Safe
Spl Cell,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
North & Middle Andaman,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
Nicobar,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
CID Crime,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Tawang,0,0,0,0,0,0,0,0,0,0,1,0,2019,1,1,Safe
Kra Dadi,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
Kurung Kumey,0,0,0,0,0,0,0,0,0,0,3,0,2019,3,3,Safe
South Salmara,0,0,0,0,0,0,0,0,0,0,67,0,2019,67,67,Safe
Crime Branch,0,0,0,0,0,0,0,0,0,0,2,0,2019,2,2,Safe
GRP Jodhpur,0,0,2,0,0,0,0,0,0,0,2,0,2019,4,2,Safe
South,0,0,1,0,0,0,0,0,0,0,2,0,2019,3,2,Safe
Perambalur,0,0,3,0,0,0,0,0,0,0,3,0,2019,6,3,Safe
Railway Trichy,0,0,1,0,0,0,0,0,0,0,1,0,2019,2,1,Safe
Metro,0,0,1,0,0,0,0,0,0,0,2,0,2019,3,2,Safe
RAILWAY,0,0,1,0,0,1,0,0,0,0,1,0,2019,3,1,Safe
Mumbai Railway,0,0,1,0,0,0,0,0,0,0,1,0,2019,2,1,Safe
W.Rly Vadodara,0,0,1,0,0,0,0,0,0,0,0,0,2019,1,0,Safe
Dang,0,0,2,0,0,0,0,0,0,0,1,0,2019,3,1,Safe
Vijayawada Railway,0,0,2,0,0,0,0,0,0,0,1,0,2019,3,1,Safe
Vadodara City,0,0,9,0,1,1,153,0,0,0,26,0,2019,190,27,Unsafe
Jabalpur Railway,0,0,0,0,1,0,3,0,0,0,0,0,2019,4,1,Safe
SBS Nagar,0,0,6,0,0,0,35,0,0,0,29,0,2019,70,29,Safe
Ariyalur,0,0,6,0,0,0,6,0,0,0,14,0,2019,26,14,Safe
Krishnagiri,0,0,7,0,0,0,6,0,0,0,5,0,2019,18,5,Safe
Madurai City,0,0,5,0,0,0,66,0,0,0,6,0,2019,77,6,Safe
Nilgiris,0,0,6,0,0,0,3,0,0,0,1,0,2019,10,1,Safe
Pudukottai,0,0,5,0,0,0,18,0,0,0,7,0,2019,30,7,Safe
Imphal West,0,0,1,0,0,0,4,0,0,0,10,0,2019,15,10,Safe
Thoubal,0,0,1,0,0,0,4,0,0,0,2,0,2019,7,2,Safe
Nandurbar,0,0,7,0,0,0,70,0,0,0,22,0,2019,99,22,Safe
Sindhudurg,0,0,5,0,0,0,3,0,0,0,7,0,2019,15,7,Safe
Deogarh,0,0,2,0,0,0,24,0,0,0,23,0,2019,49,23,Safe
Jayashankar Bhupalpalli,0,0,8,0,0,0,43,0,0,0,4,0,2019,55,4,Safe
Wanaparthy,0,0,3,0,0,0,59,0,0,0,8,0,2019,70,8,Safe
Salem,0,0,7,0,0,0,5,0,0,0,5,0,2019,17,5,Safe
Sivagangai,0,0,3,0,0,0,27,0,0,0,8,0,2019,38,8,Safe
Trichy,0,0,3,0,0,0,31,0,0,0,14,0,2019,48,14,Safe
Bizapur,0,0,1,0,0,0,1,0,0,0,9,0,2019,11,9,Safe
Jagdalpur,0,0,4,0,0,0,4,0,0,0,38,0,2019,46,38,Safe
Rajkot Rural,0,0,9,0,0,0,83,0,0,0,15,0,2019,107,15,Unsafe
Surendranagar,0,0,12,0,0,0,36,0,0,0,6,0,2019,54,6,Safe
W.Rly Ahmedabad,0,0,1,0,0,0,1,0,0,0,0,0,2019,2,0,Safe
Patan,0,0,4,0,0,0,66,0,0,0,14,0,2019,84,14,Safe
Ahmedabad Rural,0,0,10,0,0,0,46,0,0,0,12,0,2019,68,12,Safe
Amreli,0,0,9,0,0,0,125,0,0,0,13,0,2019,147,13,Unsafe
Bhavnagar,0,0,19,0,0,0,150,0,0,0,18,0,2019,187,18,Unsafe
Botad,0,0,7,0,0,0,22,0,0,0,6,0,2019,35,6,Safe
Chhotaudepur,0,0,6,0,0,0,5,0,0,0,5,0,2019,16,5,Safe
Dahod,0,0,7,0,0,0,30,0,0,0,19,0,2019,56,19,Safe
Gandhinagar,0,0,7,0,0,0,80,0,0,0,6,0,2019,93,6,Safe
Gir Somnath,0,0,4,0,0,0,104,0,0,0,20,0,2019,128,20,Unsafe
Jamnagar,0,0,12,0,0,0,57,0,0,0,6,0,2019,75,6,Safe
Junagadh,0,0,14,0,0,0,163,0,0,0,25,0,2019,202,25,Unsafe
Kachchh East(G),0,0,5,0,0,0,43,0,0,0,12,0,2019,60,12,Safe
Kachchh West(B),0,0,8,0,0,0,71,0,0,0,9,0,2019,88,9,Safe
Kheda,0,0,12,0,0,0,65,0,0,0,11,0,2019,88,11,Safe
Mahisagar,0,0,16,0,0,0,37,0,0,0,10,0,2019,63,10,Safe
Narmada,0,0,5,0,0,0,15,0,0,0,5,0,2019,25,5,Safe
Devbhumi Dwarka,0,0,5,0,0,0,60,0,0,0,3,0,2019,68,3,Safe
Papum Pare City,0,0,1,0,0,0,23,0,0,0,17,0,2019,41,17,Safe
Subansiri Upper,0,0,1,0,0,0,5,0,0,0,3,0,2019,9,3,Safe
Guntakal Railway,0,0,2,0,0,0,1,0,0,0,0,0,2019,3,0,Safe
Trivandrum Commr.,0,0,4,0,0,0,81,0,0,0,76,0,2019,161,76,Unsafe
Thrissur Rural,0,0,3,0,0,0,157,0,0,0,74,0,2019,234,74,Unsafe
Idukki,0,0,3,0,0,0,83,0,0,0,82,0,2019,168,82,Unsafe
Indore Railway,0,0,2,0,0,0,1,0,0,0,0,0,2019,3,0,Safe
Jhabua,0,0,11,0,0,0,9,0,0,0,27,0,2019,47,27,Safe
Baramulla,0,0,2,0,0,0,60,0,0,0,8,0,2019,70,8,Safe
Handwara,0,0,3,0,0,0,7,0,0,0,3,0,2019,13,3,Safe
Kishtwar,0,0,1,0,0,0,4,0,0,0,12,0,2019,17,12,Safe
Pulwama,0,0,1,0,0,0,2,0,0,0,5,0,2019,8,5,Safe
Rajouri,0,0,1,0,0,0,33,0,0,0,25,0,2019,59,25,Safe
Anantnag,0,0,2,0,0,0,8,0,0,0,13,0,2019,23,13,Safe
Una,0,0,6,0,0,0,34,0,0,0,18,0,2019,58,18,Safe
Samba,0,0,2,0,0,0,9,0,0,0,7,0,2019,18,7,Safe
Mandi,0,0,8,0,0,0,46,0,0,0,52,0,2019,106,52,Unsafe
Shimla,0,0,4,0,0,0,14,0,0,0,62,0,2019,80,62,Safe
Sirmaur,0,0,1,0,0,0,27,0,0,0,40,0,2019,68,40,Safe
Srinagar,0,0,2,0,0,0,48,0,0,0,14,0,2019,64,14,Safe
Sopore,0,0,2,0,0,0,2,0,0,0,4,0,2019,8,4,Safe
NRI Wing,0,0,0,0,0,0,128,0,0,0,0,0,2019,128,0,Unsafe
Ludhiana Rural,0,0,0,0,0,0,28,0,0,0,26,0,2019,54,26,Safe
East,0,0,0,0,0,0,1,0,0,0,5,0,2019,6,5,Safe
Coimbatore City,0,0,0,0,0,0,18,0,0,0,1,0,2019,19,1,Safe
Imphal East,0,0,0,0,0,0,3,0,0,0,8,0,2019,11,8,Safe
Kakching,0,0,0,0,0,0,2,0,0,0,4,0,2019,6,4,Safe
Jiribam,0,0,0,0,0,0,1,0,0,0,2,0,2019,3,2,Safe
Garo Hills East,0,0,0,0,0,0,1,0,0,0,1,0,2019,2,1,Safe
Garo Hills South,0,0,0,0,0,0,4,0,0,0,3,0,2019,7,3,Safe
Jaintia Hills East,0,0,0,0,0,0,1,0,0,0,8,0,2019,9,8,Safe
Khasi Hills South West,0,0,0,0,0,0,1,0,0,0,1,0,2019,2,1,Safe
Khasi Hills West,0,0,0,0,0,0,1,0,0,0,6,0,2019,7,6,Safe
Kolasib,0,0,0,0,0,0,2,0,0,0,4,0,2019,6,4,Safe
Mamit,0,0,0,0,0,0,1,0,0,0,4,0,2019,5,4,Safe
Rudra Prayag,0,0,0,0,0,0,1,0,0,0,1,0,2019,2,1,Safe
Tehri Garhwal,0,0,0,0,0,0,8,0,0,0,21,0,2019,29,21,Safe
SPUWAC,0,0,0,0,0,0,56,0,0,0,0,0,2019,56,0,Safe
Kharagpur GRP,0,0,0,0,0,0,1,0,0,0,0,0,2019,1,0,Safe
South Andaman,0,0,0,0,0,0,1,0,0,0,10,0,2019,11,10,Safe
Tiruppur City,0,0,0,0,0,0,5,0,0,0,0,0,2019,5,0,Safe
North,0,0,0,0,0,0,42,0,0,0,4,0,2019,46,4,Safe
Nagpur Railway,0,0,0,0,0,0,1,0,0,0,1,0,2019,2,1,Safe
Dantewara,0,0,0,0,0,0,4,0,0,0,2,0,2019,6,2,Safe
Sukma,0,0,0,0,0,0,3,0,0,0,3,0,2019,6,3,Safe
Arvalli,0,0,0,0,0,0,94,0,0,0,6,0,2019,100,6,Safe
Banaskantha,0,0,0,0,0,0,187,0,0,0,50,0,2019,237,50,Unsafe
Siang East,0,0,0,0,0,0,5,0,0,0,6,0,2019,11,6,Safe
Siang West,0,0,0,0,0,0,5,0,0,0,9,0,2019,14,9,Safe
Tirap,0,0,0,0,0,0,1,0,0,0,0,0,2019,1,0,Safe
Lower Siang,0,0,0,0,0,0,2,0,0,0,1,0,2019,3,1,Safe
Longding,0,0,0,0,0,0,3,0,0,0,6,0,2019,9,6,Safe
Kameng West,0,0,0,0,0,0,1,0,0,0,2,0,2019,3,2,Safe
Kameng East,0,0,0,0,0,0,3,0,0,0,0,0,2019,3,0,Safe
Majuli,0,0,0,0,0,0,38,0,0,0,3,0,2019,41,3,Safe
Jorhat,0,0,0,0,0,0,618,0,0,0,30,0,2019,648,30,Unsafe
RPO,0,0,0,0,0,0,10,0,0,0,1,0,2019,11,1,Safe
Kasargod,0,0,0,0,0,0,102,0,0,0,87,0,2019,189,87,Unsafe
Bandipora,0,0,0,0,0,0,4,0,0,0,5,0,2019,9,5,Safe
Doda,0,0,0,0,0,0,13,0,0,0,11,0,2019,24,11,Safe
Ganderbal,0,0,0,0,0,0,4,0,0,0,2,0,2019,6,2,Safe
Kulgam,0,0,0,0,0,0,8,0,0,0,11,0,2019,19,11,Safe
Kupwara,0,0,0,0,0,0,18,0,0,0,3,0,2019,21,3,Safe
Leh,0,0,0,0,0,0,1,0,0,0,2,0,2019,3,2,Safe
Poonch,0,0,0,0,0,0,3,0,0,0,20,0,2019,23,20,Safe
Reasi,0,0,0,0,0,0,3,0,0,0,9,0,2019,12,9,Safe
Awantipora,0,0,0,0,0,0,2,0,0,0,0,0,2019,2,0,Safe
Lahaul & Spiti,0,0,0,0,0,0,1,0,0,0,0,0,2019,1,0,Safe
Shopian,0,0,0,0,0,0,3,0,0,0,1,0,2019,4,1,Safe
Patiala,0,9,14,0,2,1,153,0,0,0,49,0,2019,228,60,Unsafe
Mansa,0,1,6,0,0,1,17,0,0,0,56,0,2019,81,57,Safe
Moradabad,0,26,1,0,1,1,427,0,0,0,83,0,2019,539,110,Unsafe
Rohini,0,14,5,0,1,1,348,0,0,0,100,0,2019,469,115,Unsafe
Suryapet,0,1,7,0,0,1,282,0,0,0,32,0,2019,323,33,Unsafe
CP Jalandhar,0,3,6,0,1,0,142,0,0,0,39,0,2019,191,43,Unsafe
Ferozepur,0,2,0,0,1,0,24,0,0,0,33,0,2019,60,36,Safe
Jodhpur Rural,0,19,4,0,1,0,218,0,0,0,98,0,2019,340,118,Unsafe
Rourkela,0,2,0,0,1,0,58,0,0,0,30,0,2019,91,33,Safe
Jajpur,0,38,0,0,1,0,117,0,0,0,53,0,2019,209,92,Unsafe
Hooghly Rural Police,0,21,38,0,4,0,535,0,0,0,17,0,2019,615,42,Unsafe
Meerut,0,32,8,0,1,0,599,0,0,0,99,0,2019,739,132,Unsafe
Mirzapur,0,30,12,0,1,0,166,0,0,0,17,0,2019,226,48,Unsafe
Saharanpur,0,26,0,0,3,0,271,0,0,0,34,0,2019,334,63,Unsafe
Baruipur Police,0,31,11,0,2,0,1697,0,0,0,53,0,2019,1794,86,Unsafe
Gautambudh Nagar,0,28,0,0,1,0,285,0,0,0,99,0,2019,413,128,Unsafe
Hathras,0,23,8,0,3,0,169,0,0,0,39,0,2019,242,65,Unsafe
Sipahijala,0,9,2,0,1,0,77,0,0,0,13,0,2019,102,23,Safe
Agra,0,84,2,0,1,0,439,0,0,0,87,0,2019,613,172,Unsafe
Amethi,0,13,0,0,1,0,138,0,0,0,24,0,2019,176,38,Unsafe
Amroha,0,12,0,0,1,0,206,0,0,0,24,0,2019,243,37,Unsafe
Surat Rural,0,2,1,0,1,0,15,0,0,0,10,0,2019,29,13,Safe
Hissar,0,7,11,0,1,0,196,0,0,0,60,0,2019,275,68,Unsafe
Jhajjar,0,13,12,0,1,0,211,0,0,0,43,0,2019,280,57,Unsafe
Jalgaon,0,4,28,0,1,0,265,0,0,0,37,0,2019,335,42,Unsafe
SAS Nagar,0,4,13,0,0,0,86,0,0,0,46,0,2019,149,50,Unsafe
Tarn Taran,0,3,6,0,0,0,40,0,0,0,34,0,2019,83,37,Safe
Alwar,0,24,1,0,0,0,685,0,0,0,236,0,2019,946,260,Unsafe
Banswara,0,10,5,0,0,0,308,0,0,0,223,0,2019,546,233,Unsafe
Baran,0,2,7,0,0,0,471,0,0,0,123,0,2019,603,125,Unsafe
Bharatpur,0,37,2,0,0,0,835,0,0,0,290,0,2019,1164,327,Unsafe
Bikaner,0,10,7,0,0,0,607,0,0,0,227,0,2019,851,237,Unsafe
Bundi,0,4,4,0,0,0,390,0,0,0,121,0,2019,519,125,Unsafe
Chittorgarh,0,5,9,0,0,0,574,0,0,0,138,0,2019,726,143,Unsafe
Churu,0,13,4,0,0,0,464,0,0,0,159,0,2019,640,172,Unsafe
Dungarpur,0,10,1,0,0,0,135,0,0,0,103,0,2019,249,113,Unsafe
Ropar,0,2,4,0,0,0,48,0,0,0,19,0,2019,73,21,Safe
Amritsar Rural,0,2,11,0,0,0,60,0,0,0,53,0,2019,126,55,Unsafe
Batala,0,2,1,0,0,0,38,0,0,0,33,0,2019,74,35,Safe
Bathinda,0,4,15,0,0,0,79,0,0,0,92,0,2019,190,96,Unsafe
Faridkot,0,2,4,0,0,0,25,0,0,0,17,0,2019,48,19,Safe
Khanna,0,3,11,0,0,0,32,0,0,0,17,0,2019,63,20,Safe
Hanumangarh,0,19,5,0,0,0,746,0,0,0,196,0,2019,966,215,Unsafe
Cuddalore,0,11,21,0,0,0,39,0,0,0,15,0,2019,86,26,Safe
Dharmapuri,0,4,5,0,0,0,8,0,0,0,5,0,2019,22,9,Safe
Jaipur South,0,7,2,0,0,0,302,0,0,0,149,0,2019,460,156,Unsafe
Jaisalmer,0,9,2,0,0,0,71,0,0,0,48,0,2019,130,57,Unsafe
Jalore,0,13,3,0,0,0,212,0,0,0,84,0,2019,312,97,Unsafe
Jhunjhunu,0,14,5,0,0,0,472,0,0,0,152,0,2019,643,166,Unsafe
Jodhpur East,0,8,5,0,0,0,165,0,0,0,69,0,2019,247,77,Unsafe
Jodhpur West,0,9,6,0,0,0,267,0,0,0,62,0,2019,344,71,Unsafe
Karauli,0,6,1,0,0,0,356,0,0,0,101,0,2019,464,107,Unsafe
Kota Rural,0,3,1,0,0,0,249,0,0,0,62,0,2019,315,65,Unsafe
Sikar,0,7,4,0,0,0,678,0,0,0,164,0,2019,853,171,Unsafe
Udaipur,0,12,12,0,0,0,616,0,0,0,220,0,2019,860,232,Unsafe
Nasik Commr.,0,6,27,0,0,0,230,0,0,0,25,0,2019,288,31,Unsafe
Nasik Rural,0,2,38,0,0,0,474,0,0,0,44,0,2019,558,46,Unsafe
Osmanabad,0,3,23,0,0,0,73,0,0,0,24,0,2019,123,27,Unsafe
Parbhani,0,6,13,0,0,0,208,0,0,0,28,0,2019,255,34,Unsafe
Pune Rural,0,7,32,0,0,0,223,0,0,0,109,0,2019,371,116,Unsafe
Kalahandi,0,4,3,0,0,0,95,0,0,0,109,0,2019,211,113,Unsafe
Balasore,0,37,2,0,0,0,140,0,0,0,142,0,2019,321,179,Unsafe
Pithoragarh,0,3,3,0,0,0,4,0,0,0,4,0,2019,14,7,Safe
Uttarkashi,0,2,1,0,0,0,9,0,0,0,7,0,2019,19,9,Safe
Mahoba,0,10,2,0,0,0,25,0,0,0,7,0,2019,44,17,Safe
Sant Kabirnagar,0,9,5,0,0,0,67,0,0,0,16,0,2019,97,25,Safe
Jhargram,0,2,5,0,0,0,72,0,0,0,8,0,2019,87,10,Safe
Paschim Medinipur,0,9,16,0,0,0,447,0,0,0,50,0,2019,522,59,Unsafe
Maharajganj,0,23,8,0,0,0,94,0,0,0,13,0,2019,138,36,Unsafe
Kushi Nagar,0,32,3,0,0,0,58,0,0,0,10,0,2019,103,42,Safe
Bhadradri Kothagudem,0,5,17,0,0,0,278,0,0,0,28,0,2019,328,33,Unsafe
Jagityal,0,4,10,0,0,0,159,0,0,0,7,0,2019,180,11,Unsafe
Mahabubabad,0,6,7,0,0,0,121,0,0,0,18,0,2019,152,24,Unsafe
Nagarkurnool,0,2,8,0,0,0,73,0,0,0,7,0,2019,90,9,Safe
Sangareddy,0,3,16,0,0,0,174,0,0,0,11,0,2019,204,14,Unsafe
Vikarabad,0,3,6,0,0,0,136,0,0,0,10,0,2019,155,13,Unsafe
Mulug,0,2,5,0,0,0,31,0,0,0,2,0,2019,40,4,Safe
Siddipet Commissionerate,0,9,10,0,0,0,241,0,0,0,21,0,2019,281,30,Unsafe
Ramagundam Commissionerate,0,10,19,0,0,0,475,0,0,0,31,0,2019,535,41,Unsafe
Hyderabad Commissionerate,0,22,31,0,0,0,1568,0,0,0,184,0,2019,1805,206,Unsafe
Hamirpur,0,21,9,0,0,0,122,0,0,0,24,0,2019,176,45,Unsafe
Kasganj,0,28,3,0,0,0,108,0,0,0,38,0,2019,177,66,Unsafe
South,0,3,1,0,0,0,69,0,0,0,5,0,2019,78,8,Safe
Unakoti,0,6,1,0,0,0,23,0,0,0,12,0,2019,42,18,Safe
West,0,7,1,0,0,0,137,0,0,0,34,0,2019,179,41,Unsafe
Dhamtari,0,4,9,0,0,0,13,0,0,0,20,0,2019,46,24,Safe
Janjgir,0,11,4,0,0,0,48,0,0,0,34,0,2019,97,45,Safe
Kabirdham,0,2,6,0,0,0,17,0,0,0,22,0,2019,47,24,Safe
Korba,0,4,4,0,0,0,35,0,0,0,34,0,2019,77,38,Safe
Koriya,0,2,5,0,0,0,28,0,0,0,30,0,2019,65,32,Safe
Raigarh,0,7,1,0,0,0,36,0,0,0,124,0,2019,168,131,Unsafe
Balodbazar,0,9,14,0,0,0,46,0,0,0,41,0,2019,110,50,Unsafe
Balod,0,3,3,0,0,0,14,0,0,0,33,0,2019,53,36,Safe
Chittoor,0,4,35,0,0,0,274,0,0,0,32,0,2019,345,36,Unsafe
Cachar,0,20,3,0,0,0,664,0,0,0,58,0,2019,745,78,Unsafe
Visakha Rural,0,6,17,0,0,0,141,0,0,0,44,0,2019,208,50,Unsafe
Tirupathi Urban,0,2,5,0,0,0,89,0,0,0,21,0,2019,117,23,Unsafe
Agar,0,2,5,0,0,0,47,0,0,0,12,0,2019,66,14,Safe
Barwani,0,5,12,0,0,0,32,0,0,0,25,0,2019,74,30,Safe
Burhanpur,0,4,2,0,0,0,16,0,0,0,10,0,2019,32,14,Safe
Chhatarpur,0,17,14,0,0,0,121,0,0,0,47,0,2019,199,64,Unsafe
Harda,0,2,3,0,0,0,51,0,0,0,24,0,2019,80,26,Safe
Umaria,0,4,4,0,0,0,44,0,0,0,11,0,2019,63,15,Safe
Niwari,0,3,3,0,0,0,47,0,0,0,23,0,2019,76,26,Safe
Ahmednagar,0,7,55,0,0,0,491,0,0,0,60,0,2019,613,67,Unsafe
Dhule,0,2,13,0,0,0,293,0,0,0,12,0,2019,320,14,Unsafe
Jalna,0,2,5,0,0,0,396,0,0,0,39,0,2019,442,41,Unsafe
Khandwa,0,3,11,0,0,0,49,0,0,0,27,0,2019,90,30,Safe
Rajgarh,0,3,12,0,0,0,133,0,0,0,21,0,2019,169,24,Unsafe
Shajapur,0,5,6,0,0,0,57,0,0,0,20,0,2019,88,25,Safe
Sidhi,0,9,19,0,0,0,63,0,0,0,22,0,2019,113,31,Unsafe
Jammu,0,4,6,0,0,0,49,0,0,0,22,0,2019,81,26,Safe
Ramban,0,2,2,0,0,0,5,0,0,0,10,0,2019,19,12,Safe
Sirsa,0,11,5,0,0,0,158,0,0,0,85,0,2019,259,96,Unsafe
Charkhi Dadri,0,4,6,0,0,0,39,0,0,0,16,0,2019,65,20,Safe
